Overall Performance,2/14/2025 - 2/13/2026,,Date,Impressions,Engagements,,Post URL,Post publish date,Engagements,,Post URL,Post publish date,Impressions,,Total followers on 2/13/2026:,1333,,Top Demographics,Value,Percentage
Impressions,52183,,2/14/2025,16,0,,https://www.linkedin.com/feed/update/urn:li:activity:7401586022465110016,12/2/2025,68,,https://www.linkedin.com/feed/update/urn:li:activity:7413258651005554688,1/3/2026,14201,,,,,Job titles,Founder,4%
Members reached,23526,,2/15/2025,18,0,,https://www.linkedin.com/feed/update/urn:li:activity:7407725150172893184,12/19/2025,55,,https://www.linkedin.com/feed/update/urn:li:activity:7402311970902708224,12/4/2025,5416,,Date,New followers,,Job titles,Co-Founder,3%
,,,2/16/2025,10,0,,https://www.linkedin.com/feed/update/urn:li:activity:7402311970902708224,12/4/2025,48,,https://www.linkedin.com/feed/update/urn:li:activity:7407725150172893184,12/19/2025,5123,,2/14/2025,4,,Job titles,Chief Executive Officer,1%
,,,2/17/2025,42,0,,https://www.linkedin.com/feed/update/urn:li:activity:7405187430657699840,12/12/2025,47,,https://www.linkedin.com/feed/update/urn:li:activity:7403825954302865408,12/8/2025,4343,,2/15/2025,0,,Job titles,Software Engineer,1%
,,,2/18/2025,18,1,,https://www.linkedin.com/feed/update/urn:li:activity:7402650938152337408,12/5/2025,35,,https://www.linkedin.com/feed/update/urn:li:activity:7401586022465110016,12/2/2025,3049,,2/16/2025,1,,Job titles,Professor,1%
,,,2/19/2025,28,0,,https://www.linkedin.com/feed/update/urn:li:activity:7413258651005554688,1/3/2026,23,,https://www.linkedin.com/feed/update/urn:li:activity:7405187430657699840,12/12/2025,1868,,2/17/2025,1,,Locations,"London Area, United Kingdom",31%
,,,2/20/2025,23,1,,https://www.linkedin.com/feed/update/urn:li:activity:7407488701280182272,12/18/2025,22,,https://www.linkedin.com/feed/update/urn:li:activity:7402650938152337408,12/5/2025,1600,,2/18/2025,2,,Locations,Greater Cambridge Area,9%
,,,2/21/2025,24,0,,https://www.linkedin.com/feed/update/urn:li:activity:7416796809123209216,1/13/2026,21,,https://www.linkedin.com/feed/update/urn:li:activity:7404580199566315521,12/10/2025,1509,,2/19/2025,1,,Locations,Mumbai Metropolitan Region,3%
,,,2/22/2025,42,0,,https://www.linkedin.com/feed/update/urn:li:activity:7403825954302865408,12/8/2025,20,,https://www.linkedin.com/feed/update/urn:li:activity:7412798566101848064,1/2/2026,1427,,2/20/2025,1,,Locations,New York City Metropolitan Area,2%
,,,2/23/2025,8,0,,https://www.linkedin.com/feed/update/urn:li:activity:7412798566101848064,1/2/2026,20,,https://www.linkedin.com/feed/update/urn:li:activity:7164972635116789760,2/18/2024,1235,,2/21/2025,2,,Locations,Greater Boston,1%
